"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-300793","Stopped gaining expeirience","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I died exploring an end city after defeating the ender dragon and havent leveled up since. ive killed plenty of mobs idk whats going on\n\n\n\n"
"MC-300806","Non-existent structure block","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","###### help please I was just building in my minecraft world with the structure block, when I broke all the structure blocks I was left with the surrounding area of my build with no structure block and I don't know what to do anymore.\n\n\n\n"
"MC-300807","'weathering_copper_trap_door' block type ID is inconsistent with 'trapdoor' block type ID and block names","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Generally, block type IDs seem to be accurate to their respective blocks' names; however, `weathering_copper_trap_door` is one case where this is not true. The block type registry is exposed in the blocks' data generator report, meaning this behavior is observable with the vanilla Minecraft server JAR. \n\n**Steps to reproduce**\n\n1. Run the data generator\n\n\n2. Search for `weathering_copper_trap_door` in the output, observing that it exists\n\n\n3. Search for `trapdoor` in the output, observing that it also exists\n\n\n\n**Expected result**\n\nThe block type ID shown would be `weathering_copper_trapdoor`.\n\n**Actual result**\n\nThe block type ID shown is `weathering_copper_trap_door`.\n\n\n\nThe output can also be viewed here:  \n\n"
"MC-300809","I can't remove blocks from my inventory! in 1.21.8","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","`If I put a block in my inventory, I can't remove it. Only if I take more than one block can I remove all but one! Since today, it doesn't work unless I drag it back into my inventory, but it still works with the destruction field.`\n\n"
"MC-300815","Want to the green book to craft Soul Lanterns but it did nothing","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","I want to the green book in the crafting table and click on the Soul Lantern. and it didn’t show up how to make the Soul Lantern.\n\n"
"MC-300836","Bed is Occupied after pc shut off","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I went to sleep in my bed in-game when my power temporarily went out. After regaining power, I re-logged into my world, which saved to right before I slept. When I tried sleeping in the bed, it said the bed was occupied, even though it was a single player world. Breaking the bed did reset it back to its normal state.\n\n"
"MC-300843","Locator bar glitching on a happy ghast","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","when you sit beside a person on a happy ghast the locator bar icon for that player is glitching like he is teleporting from one place to another \n\n"
"MC-300844","Skeleton bug","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Skeleton’s bow is floating under its hand,not in hand\n\n"
"MC-300845","crashing","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i opined minecraft but fore some reason it was stuck on the loading screen and the only way that i could fix this is restart my pc ore alt + F4\n\n"
"MC-300851","Duplication of angry wolves","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","Lead a angry wolf and have a sheep nearby and tried to lead the wolf to a fence post\n\n"
"MC-300860","Enchantments for everything","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Me and my friends were just playing around on a test server and i just started holding scroll wheel and i sent up stuff like sharpness on a chestplate and scroled and it was lowerd and i got a sharpness netherite chestplate so me and my friends just started and looking over it whit diffrent items and we made a cheastplate thats nearly impossible to get and my friends was like its just lag but the lag machine on off them made was made after that and then we started lloking at the wiki and twitter and we found nothing\n\n"
"MC-300861","Infinite blocks","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Blocks that are pushed by a piston when placed in creative mode will cause them to respawn after destruction and will not fall\n\n"
"MC-300872","Dealing damage sometimes makes your sprint be at a walking pace","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Sometimes if you deal damage while sprinting your sprint speed will be reduced to that of normal walking speed.You can still sprint jump, and you still still see sprinting particles, but you are as slow as walking.\n\nI'm not sure on the exact reproductions steps, as it seems to be a little random.Just try attacking another player while sprinting with different combinations of being midair and side stepping.\n\n"
"MC-300874","Mob behaviour bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Neutral/Hostile mobs that have a permanent target sometimes briefly turn to another mob that attacks them. This happens often when the player has a tamed wolf and the player punches a mob, and when the wolf attacks it, it turns to look at the wolf for about 0.3 seconds.\n\n"
"MC-300875","Mob bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Breaking a gold-related block does not aggravate Piglin Brutes.\n\n"
"MC-300876","World gen can be different for the same seed.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Trees can be in different locations/different shapes when using the same seed more than once. Strongholds sometimes get overridden by caves, and sometimes not in the same seed. In general, structures/features that collide can be different on every seed except for trees which are just different for some reason.\n\n\n\n"
"MC-300877","Experience does not drop out of quartz","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When mining quartz, experience is dropped, but it is not counted towards your level.\n\n"
"MC-300881","Report Player Skin: Skin Preview no longer interactive","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When trying to report a player skin the widget on the left side is no longer interactive.\n\nPreviously (in 1.21.8) it was possible to drag the mouse which moved the player entity accordingly.\n\n"
"MC-300886","Can't fly in creative","Bug","1.21.8; 25w32a","None","Unconfirmed","(Unassigned)","Incomplete","None","Every time I try to fly in creative all I do is jump, I checked settings and restarted the game and still can't fly in creative, even making a new world didn't work, sorry I don't have a picture to prove. \n\n"
"MC-300889","A pumpkin can be carved with any object.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","My friend and I noticed that a pumpkin can be carved by hand or with any other object, but this was not the case on older versions. I counted it as a bug.\n\n"
"MC-300891","Music disc ""tears"" does not show the juke box's playing state","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","the tears music disk does not set the jukeboxes playing blockstate \n\n"
"MC-300894","Baby Happy Ghast does not scale harness layer correctly","Bug","1.21.8; 25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When equipping harness for adult Happy Ghast, then using command to set their age to -24000.\n\nAfter that the harness layer disappeared and cannot be seen from the outside. But when looking inside the Baby Happy Ghast there is a harness layer rendered but incorrect scale.\n\nI have attached fix code to make it render properly. Just simply remove `baby` argument and remove `apply` part with the `BABY_TRANSFORMER` in the `HappyGhastHarnessModel` class.\n\n\n\n"
"MC-300898","In version 24W36A, when wearing Netherite armor, it will incorrectly appear as Diamond armor","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","***in version 24W36A, when wearing Netherite armor, it will incorrectly appear as Diamond armor***\n\n\n\n"
"MC-300902","Anvil GUI: Title text rendering priority incorrectly higher than input field text","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When replacing the default anvil title texture with a custom image (by modifying the title name), the new texture renders **above** the input text field, obscuring typed text.\n\n\n\n"
"MC-300903","Item sorting broken with Copper golem in underground warehouse setup.","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In Snapshot 25w32a, I encountered a consistent issue with the Copper Golem's item sorting behavior. The golem fails to deposit items into chests that already contain the same item, even when those chests are not full.\n\nFor example, I placed diamonds into a regular chest. Later, I added more diamonds into a Copper Chest. Instead of depositing them into the original chest (which still had space and already contained diamonds), the golem chose a different chest — sometimes even one containing unrelated items like copper.\n\nMy storage system includes two separate underground warehouses, each with 10 chests (5 on the left, 5 on the right). Each warehouse has its own Copper Golem, so there's no overload. All chests are on the same level, with plenty of space above them. The only visual indicator I used was a single item frame on one chest, but the golem ignored it.\n\nThe issue occurs every time I attempt to sort items. The golem seems to forget which chests it has already used and does not consistently check all 10 available chests. This behavior makes the sorting system unreliable and breaks the intended functionality.\n\nPlease investigate this bug — it significantly affects gameplay and automation.\n\n"
"MC-300905","hopper bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Before reading it.\n\nI am not a native English speaker, so my English is not good.\n\n\n\n\n\nBug:\n\nHopper can pass some items  to next hopper.\n\nbut in this procedure, the item in bug hopper is gone.\n\nFix: destroy the  bug hopper and fill again the same location.\n\n\n\n *I don’t know how to generate this bug, and I think this bug is very rare to happen\n\nbut if it happen, when you put some important items in the hopper your important item may be gone.\n\n\n\n"
"MC-300915","Nether Portal Unlinking","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I’ve just started a hardcore world singleplayer in the latest version, opened a Nether Portal that I created with buckets, just to see where I’d spawn.When I came back through the portal (the one in the Nether), instead of finding myself back where I had built mine, the game spawned a portal in a place where I had never been. I re-entered, re-exited, and still found myself in this new place. So I broke the new portal in the Overworld and walked back home, I entered the portal again and it worked fine, so I closed the game.Today I went back in my world, entered the Nether, and when I left it a new portal spawned next to that one I had broken yesterday, and the one in my base unlinked again.\n\nAlso, after the unlinking happens, the game starts lagging a lot\n\n"
"MC-300925","Copper golems refuse to open chests being viewed by a player in Spectator mode","Bug","25w32a","None","Community Consensus","Mob behaviour","Cannot Reproduce","None","Steps to reproduce:\n\n1. Set up any environment where a copper golem would open a copper chest.\n\n\n2. Enter spectator mode and click on the copper chest to view it’s contents.\n\n\n\nExpected Behavior:\n\n1. In the circumstance that a player is in spectator mode, players should not be able to make any noticable changes to the world.\n\n\n2. The copper golem should be able to interact with the copper chest as if no player is currently opening it.\n\n\n\nWhat happens:\n\n1. The copper golem will refuse to open the copper chest, allowing players in spectator mode to break or interrupt contraptions that use copper golems.\n\n\n\nThis bug makes it annoying to debug and analyze the speed of copper golem contraptions when using spectator mode.\n\n"
"MC-300927","After opening to the local area network, unable to interact with items, unable to switch modes, getting stuck on the save screen when exiting the game.","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","After opening to the local area network, unable to interact with items, unable to switch modes, getting stuck on the save screen when exiting the game.\n\n"
"MC-300934","Hello, i joined a friends aternos and then i changed my minecraft name, it restarted my game","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i joined a friends aternos and then i changed my minecraft name, i joined it later on and got restarted, items and all. i got respawned at the world spawn point and had to try and get my loot back but failed. i don't know what to do?\n\n"
"MC-300935","The launcher or thrower detects the redstone torch incorrectly","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Place a redstone torch attached to a block on the side directly above the thrower or launcher, and when the attached block receives a pulse signalThe redstone torch also began to flicker, but the projector or launcher below did not throw the projectile\n\n[brick]<- [Redstone Torch]\n\n                [transmitter]\n\n"
"MC-300937","Sheer Brilliance Not Unlocking","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When trying to unlock Sheer Brilliance Achievement, with all steps necessary taken, I have not been able to unlock the achievement. My friend who is playing on the same server is also having the same issue, as well as other achievements. \n\n"
"MC-300943","I can't switch ""Redused Debug Info"" off","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When I Turn ""Redused Debug Info"" off, Debug Info is still Reduced and I can't switch it off\n\n"
"MC-300953","Poor optimization in versions 1.21.5+","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Since version 1.21.5 there has been an optimization error. In version 1.21.4 I could easily reach 200 fps, but when I switched to 1.21.5 my fps was only 50-120 fps Even dropped to 0 fps for about 1 second continuously , 1.21.8 was a huge disappointment, I dropped to 2 chunks and got 45fps, do you guys really want me to play minecraft and occasionally look up at the sky to increase fps?\n\n"
"MC-300957","Game frozen nothing responding","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","My World is frozen chunks not loading some chunks with blocks invisible\n\n"
"MC-300962","Unable to exchange the same items in the backpack normally.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Take fireworks as an example. When you press the E key to open your inventory and swap the positions of two sets of fireworks, you will find that if the number of fireworks selected with the mouse is less than the number being swapped, the exchange cannot be completed, no matter how many times you left-click. If the number of fireworks selected with the mouse is greater than the number of fireworks being swapped, the two sets of items can be exchanged normally. This issue only occurs with certain blocks, such as fireworks and scaffolding.\n\n"
"MC-300973","Bug about - copper golems isn’t oxidised","Bug","25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None","I tried the command “tick sprint 3d” to watch the copper golem oxidize, but it’s not working. Mojang, please fix this. 🙏\n\n"
"MC-300980","Its a bug in the settings","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","I set my game on hold sneak but it toggles\n\nalso in the versions 1.21.4 and 1.21.5\n\n"
"MC-300998",".","Bug","25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None",".\n\n"
"MC-301008","Possible regression: GuiGraphics#submitOutline doesn't respect matrix transformations","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","GuiGraphics#renderOutline has been removed in 25w33a in favor of GuiGraphics#submitOutline.\n\nAny transformations which have been applied to the Matrix3x2fStack (such as translations) are not respected anymore.\n\n\n\nPrevious example which used to work:\n\n```java\nguiGraphics.pose().translate(10, 10);
guiGraphics.renderOutline(0, 0, 5, 5, 0xFFFFFFFF);\n```\n\nThe above would render a white outline at `10, 10` with width and height each being 5 in white color.\n\n\n\nCurrent state which doesn’t work:\n\n```java\nguiGraphics.pose().translate(10, 10);
guiGraphics.submitOutline(0, 0, 5, 5, 0xFFFFFFFF);\n```\n\nThis outline now doesn’t render at `10, 10` but at `0, 0`.\n\n\n\nExpected behavior would probably be for it to render at `10, 10` as was previously the case. The fill command also respects applied transformations, so it would be weird for `submitOutline` not to.\n\n"
"MC-301018","Pausing the game does only pause the game Igt","Bug","25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None","Pausing the game does only pause the game Igt\n\n"
"MC-301045","Intel core related bugs still occur on servers with resource/texture packs enabled.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","**Bugs -**  and probably MC-296908 still occur on 1.21.8 if server has resource packs enabled. \n\nSometimes textures flicker with black lines or their animations are interrupted. This is easily noticed on magma blocks, lava, and water.\n\nGame screen freezing and crashes also occur as before.\n\n## How to get\n\nJoin java multiplayer server with resource/texture pack enabled on device with intel core graphic, wait a while and you should notice glitches. Sometimes, spotting them can be less frequent and seems to depend on the server.\n\n## Note:\n\nThese bugs didn't seem to exist on version 1.21.8 for a while, but they've been around for a few days or weeks (I can't quite pinpoint it). They don't seem to occur on servers without resource/texture packs enabled or in singleplayer worlds.Also the bugs seem to be much weaker than on versions before intel core graphic fixes\n\n"
"MC-301046","Shader rendertype_entity_translucent_emissive could not find sampler named Sampler2 in the specified shader program.","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","This is an ongoing bug with 1.21.x, in my case 1.21.1.  Errors are as thus upon server startup. \n\n\n\n```\n[11Aug2025 19:12:23.980] [Render thread/WARN] [net.minecraft.client.renderer.ShaderInstance/]: Shader rendertype_entity_translucent_emissive could not find sampler named Sampler2 in the specified shader program.\n```\n\n\n\n"
"MC-301052","Festive mashup pack problem","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","​I was playing a festive mashup pack and it showed up wrong. I saw the rain falling in very small and not clear snow I just want to make the rain rain clearly or with big snow and tysm❤️\n\n"
"MC-301059","torches are disappearing in tunnels","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I placed torches in a tunnel leading to a cave but all of them dissapeared meanwhile the one that where placed inside the actual cave didnt. It was vanilla minecraft. I also used stairs in my tunnel. \n\n\n\n"
"MC-301071","Fence Gates make Stone sounds on placement","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When any Fence Gate is placed/broken it makes a Stone based sound instead of Wood sounds\n\n"
"MC-301073","Iron Golem Rage when using a lead on a bot with villager leaded to an happy ghast","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you have a boat with 1/2 villagers and you use the lead on the boat, the boat will fall on the ground and even if the villagers won’t get any damage, if there is an iron golem nearby he will be triggered and will charge you\n\n"
"MC-301076","after using backup i cant see days or biomes","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i took in use my backup  and now i cant see days or on what biome i am on\n\n"
"MC-301106","If the copper golem turns into a statue while leashed by player, the lead will disappear","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If the copper golem turns into a statue while leashed by player, the lead will disappear\n\n"
"MC-301108","Deletion of enchanting table items","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When you start enchanting something in an enchanting table, but don’t select the enchant and just put the lapis and items in, and you disconnect, or get kicked from a server, the items and lapis gets deleted.\n\n(on a 1.21.8 server)\n\n"
"MC-301109","Duplicate items","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you put item in chest then having so much item on ground that cause the lag then shut down the app and log again the item you put in chest and your inventory still remain i found this bug in 1.21.5 \n\n"
"MC-301111","End Portal Frame not being broken","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","when you break an end portal the portal doesnt get destroyed, how it normally would be like. This too effects the trick where you break the frames using a red mushroom\n\n"
"MC-301117","Some items placed on a copper golems head are glitched","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","#### Lastly when i was messing with commands, i discovered that some of the new items doesnt apply correctly on Copper Golems\n\n\n\nHere’s a list woth test subjects\n\n**List of the items/Mobs**\n\n**Copper Golem**\n\n**Skeleton**\n\n**Zombie**\n\nOak Shelf (or any type)\n\nApply upwards the head\n\nApply at the back of the head\n\nApply at the back of the head\n\nLightning rod (any type)\n\nApply updwards the head\n\nEaster Egg applied\n\nEaster Egg applied\n\n"
"MC-301122","Green player dot still shows up on maps put in a item frame","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","It works with both item frames and glow item frames, it even stacks if put on multiple item frames and looks very ugly on maps both hold by the player or the item frames\n\n"
"MC-301125","i got 2 bugs","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","so, I own Minecraft because I got through and now, I got to buy it and I can't mine anything or place anything done \n\n"
"MC-301128","The mouse cannot click the menu","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I died mid-game, and my mouse stopped responding to menu clicks. Even after restarting my computer, changing my mouse, and restarting the world, the mouse still doesn't work. How can I fix this? I can't play the game anymore.\n\n"
"MC-301131","spiders float","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","spiders float in jungle and planes biomes in java\n\n"
"MC-301132","I don't receive items after a certain height","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I was on a Minecraft server and a valuable item dropped. The item was 2 blocks above the other one. However, the first block was oak wood and the second block was on the stair. The item was on the open side of the stair and I couldn't get it. It's normal and it happens on every server.\n\n"
"MC-301135","Iron Golems sometimes plant flowers","Bug","1.21.8; 25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None","Blank description \n\n"
"MC-301141","Carpet does not stay with the transparent wall circuit!","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","The error that the carpet does not stay on the ground, with the transparent wall circuit, does not occur everywhere! Some circuits work, only the following ones have the error!\n\n"
"MC-301151","Game freezes graphically after ~20 seconds","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","This bug has affected multiple versions, since around April.\n\nLaunching the game ends in the window freezing after 20~30 seconds without fail, regardless of whether it’s in the main menu or being played. The freeze is only graphical, though. The game can still technically be played {presumably; movement sounds play when pressing the movement keys, and the mouse cursor appears when pressing the pause or inventory keys} despite the view being frozen.\n\nThis was tested on multiple clients (including the official Launcher,) before and after both a Java Runtime and graphics driver update, and before and after deleting the .minecraft folder.\n\n"
"MC-301157","Happy Ghasts path find into fire","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Happy ghasts can path find into fire. This was observed with soul fire. Unknown if applies to regular fire. \n\n"
"MC-301159","Rail junction failed on redstone block","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Rail junction failed if railway is on a redstone block\n\nActually, I only tested it on 1.21.5\n\nI don’t know how to describe this, so check the video\n\n"
"MC-301170","3 Enderman is attacking me for no reason","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","I don’t know it’s a easter egg or not when ı am in the end random 3 enderman is starting to attack me \n\nI don’t look their eyes \n\n"
"MC-301171","chest boat GUI opens on entering a boat","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you hold right click while entering a boat with chest it’ll open the chest GUI after placing the player in the boat. Double right clicking can have the same effect, but if there’s enough of a delay between right clicks it does NOT open the GUI making this feel like unintentional behavior \n\n\n\n"
"MC-301173","If You Break a block above you and Press Q it'll dupe the item your holding","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you break a block above you, Press Q and drop the item your holding at a certain time frame it’ll drop your item while a duped one stays in your hand and if you switch to an empty hot bar slot you can pick it up (if you pick it up with the duped item in your hand it’ll disappear) I'm not sure about the timing for pressing Q but after a while something caused my duped Netherite pickaxe to disappear \n\n\n\n"
"MC-301176","My skin dont work but my friends can see it","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Hello, my skin dont show but im stuck in the zuri skin, i cant even change with the default skins.\n\nMy friends can see my skin but i cant.\n\nI dont have any problems and i dont have any antivirus installed\n\n"
"MC-301183","Happy Ghasts won't stay on leads","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Every time I put my Happy Ghasts on leads they break free, or if I tie them to a post they'll break free of the lead that way\n\n"
"MC-301184","Carpet disappears when placed above transparent wall piston door upon activation","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When using a transparent wall piston door with Redstone, carpets placed above the moving blocks disappear upon activation.The carpet does not drop as an item, but simply gets deleted.\n\nThis issue does not affect every identical build – some piston doors work fine with carpets, others consistently delete them when triggered.\n\n\n\nSteps to reproduce\n\nBuild a transparent wall piston door (hidden door using sticky pistons and Redstone).\n\nPlace carpets on top of the blocks that are part of the piston mechanism.\n\nActivate the Redstone circuit (lever, button, or any power source).\n\nObserve: When the pistons extend or retract, the carpet vanishes.\n\n\n\nExpected result\n\nThe carpet should remain placed on top of the block even when the piston door is activated.\n\n\n\nActual result\n\nThe carpet disappears completely.\n\nIt does not drop as an item.\n\nHappens only on certain piston door builds, making it inconsistent.\n\n\n\nAdditional Notes\n\nIssue only occurs with carpets, not with full blocks.\n\nSeems related to block updates when pistons move blocks beneath carpets.\n\nTested on Minecraft Java 1.21.8 – may affect other 1.21.x versions as well.\n\n"
"MC-301202","Copper Golem Froze My game","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","All the villager function are currently stopped since my copper golem froze on an item.\n\n\n\nWhen I say stopped, they are moving, sleeping, going on their work block, but i’m talking about secondary function, they don’t breed and iron golem doesn’t spawn anymore.\n\n\n\nI killed the copper golem, it didn’t change. I restarted all the farm, nothing changed.\n\n\n\nCopper golem froze on sugar cane, it was already in a chest, golem wasn’t checking other chest and freezing on it.\n\n\n\n\n\n"
"MC-301203","I cant see my capes and my skin in game","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i have a problem, I change my laptop, i join my minecraft acount and i change my skin but when i start in a new world my skin is Steve, and i dont have capes in my menu but i colect 7 capes\n\n"
"MC-301205","Failed To Load World Summary","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i just transferred my world between pcs and now it says Failed To Load World Summary and i cant join it\n\n"
"MC-301221","Incorrect Item light rendering 1.21.8","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Some items when on the ground or held in hand arent correctly rendered at night. Commonly affects food and tools from testing. Also affects items held by mobs. So far only tested on 1.21.8 Vanilla ClientExpected result should be that items in main/offhand, held by mobs and items on ground should not ‘glow’ at night. \n\n\n\n"
"MC-301222","Weird Blue spot on GUI","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I was trying the latest java snapshot when I noticed a weird blue patch on my UI, it seems to disappear when I press F1 but it seems to appear even on third person view.\n\n"
"MC-301234","/rotate multiplies momentum/motion, for example making a player glide 6000 blocks in one second just by tapping ""w""","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","25w32a+ , not fixed yet . when an entity executes the “/rotate” its momentum/motion is multiplied by absurd amounts, more noticable with a ticking command where it doesn’t stop, making you move insanely fast for ever while not applying any movement input.\n\n"
"MC-301252","Enchanted items doesnt show the purple outline","Bug","1.21.8; 25w34b","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Some enchanted items doesnt show the purple outling they used to\n\n"
