"issue_key","ground_truth","prediction","status","prediction_status","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","model","prompt_version","cost_usd"
"MC-299342","Non-Executable","Executable","mismatch","valid_json","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Present","Accurate","The expected behavior is clearly stated as the music should play with audio when the disc is used.","Present","Sufficient","The observed behavior is clearly described, indicating that the music plays but without audio.","The report is actionable as it specifies the main action and the observed issue, allowing for an attempt to reproduce the bug.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041640"
"MC-299909","Executable","Non-Executable","mismatch","valid_json","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Irreproducible","Not Applicable","Missing Information","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when loading a skin texture.","Present","Sufficient","The report describes the error message received when attempting to load the skin texture, indicating that the issue is recognized.","The report identifies a specific error related to skin texture loading but does not provide enough information on how to reproduce the issue, making it non-executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00042810"
"MC-300025","Executable","Non-Executable","mismatch","valid_json","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Not Present","Not Applicable","There is no explicit expected behavior stated in the report.","Present","Sufficient","The report indicates that there is no NBT 'interaction' when the command is executed, which describes the observed behavior.","The report lacks critical information on how to trigger the interaction, making it non-executable despite describing the observed behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040740"
"MC-300033","Non-Executable","Executable","mismatch","valid_json","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Present","Accurate","The expected behavior is clearly stated as the item not duplicating, which aligns with typical game mechanics.","Present","Sufficient","The observed behavior is clearly described, indicating that the item eventually duplicates, which is a direct result of the steps provided.","The report is well-structured with clear steps, expected behavior, and observed behavior, making it actionable for reproduction attempts.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041715"
"MC-300143","Non-Executable","Executable","mismatch","valid_json","The report provides enough information about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly implied, as the user expects the debug options to be available when the gamerule is set to false.","Present","Sufficient","The report describes the specific issue of options being greyed out and the failure of certain commands, making the observed behavior clear.","The report is actionable and provides sufficient detail to understand the bug, making it executable despite lacking explicit steps.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041175"
"MC-300388","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the setup and the expected behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the setup and the expected behavior, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated, indicating that certain mobs should spawn in artificial water.","Present","Sufficient","The observed behavior is described in detail, noting which mobs do not spawn in artificial water.","The report is actionable and provides enough detail for reproduction attempts, with clear expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041265"
"MC-300408","Non-Executable","Executable","mismatch","valid_json","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and commands needed.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and commands needed.","Present","Accurate","The expected behavior is clearly stated, indicating that the order in the golem's memory should match the order of chest openings.","Present","Sufficient","The observed behavior is clearly described, indicating a mismatch between the expected order and the actual order in the golem's memory.","The report is well-structured with clear steps, expected behavior, and observed behavior, making it actionable for further investigation.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00043230"
"MC-300524","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior, including the conditions under which hostile mobs do not spawn, making it actionable for testing.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior, including the conditions under which hostile mobs do not spawn, making it actionable for testing.","Present","Accurate","The expected behavior of hostile mobs spawning at night is clearly stated and aligns with Minecraft mechanics.","Present","Sufficient","The report describes the observed behavior of hostile mobs not spawning or spawning rarely, providing enough detail to understand the issue.","The report is well-structured and provides sufficient information to understand the bug, making it executable for testing despite lacking specific reproducibility details.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040935"
"MC-300562","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior involving the Ender Dragon and arrow velocity, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior involving the Ender Dragon and arrow velocity, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated, indicating that arrow velocity should correspond to the actual knockback experienced by the player.","Present","Sufficient","The observed behavior is described in detail, explaining the unusual acceleration of the arrow when the Ender Dragon takes off.","The report effectively outlines the bug, including the expected and observed behaviors, making it actionable for reproduction despite lacking specific reproducibility details.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00045060"
"MC-300572","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the intended behavior and the observed behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the intended behavior and the observed behavior, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior of Copper Golems opening chests before moving up is clearly stated.","Present","Sufficient","The observed behavior of Copper Golems moving up before opening chests is clearly described.","The report effectively communicates both the expected and observed behaviors, making it actionable for reproduction attempts.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040230"
"MC-300611","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior, indicating that zombie piglins are spawning excessively around the nether portal in the overworld, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior, indicating that zombie piglins are spawning excessively around the nether portal in the overworld, which allows for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be regarding the spawning of zombie piglins.","Present","Sufficient","The report clearly describes the observed behavior of excessive zombie piglin spawning around the nether portal.","The report is actionable and provides enough detail to attempt reproduction, but it lacks a clear expected behavior statement.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041445"
"MC-300612","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior involving mobs floating instead of walking, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior involving mobs floating instead of walking, which allows for an attempt to reproduce the issue.","Present","Accurate","The expected behavior of mobs walking and jumping normally is clearly implied in the description.","Present","Sufficient","The observed behavior of mobs floating and not responding correctly when attacked is clearly described.","The report effectively communicates the bug's symptoms and expected behavior, making it actionable for reproduction attempts.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00039975"
"MC-300620","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior related to the fishing bobber's OnGround flag, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior related to the fishing bobber's OnGround flag, allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior of the fishing bobber should be when it is on the ground.","Present","Sufficient","The report clearly describes the observed behavior of the fishing bobber's OnGround flag alternating every tick when on the ground.","The report effectively describes the bug but lacks an explicit statement of the expected behavior, making it executable but not fully detailed.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041190"
"MC-300643","Non-Executable","Executable","mismatch","valid_json","The report provides sufficient detail about the hardware and the issue experienced, allowing for an attempt to reproduce the problem.","Not Assessed","Not Applicable","Not Applicable","The report provides sufficient detail about the hardware and the issue experienced, allowing for an attempt to reproduce the problem.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when launching the game.","Present","Sufficient","The report clearly describes the observed behavior of the game running in the background without displaying a window.","The report effectively outlines the issue with launching the game on specific AMD graphics cards, but lacks a clear expected behavior statement.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00043620"
"MC-300649","Non-Executable","Executable","mismatch","valid_json","The report provides a clear path to reproduce the issue by creating and activating a resource pack with overlays, which is specific enough for another evaluator to attempt.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear path to reproduce the issue by creating and activating a resource pack with overlays, which is specific enough for another evaluator to attempt.","Present","Accurate","The expected behavior is clearly stated as the resource pack overlays being applied on Linux/macOS, which aligns with the intended functionality of resource packs.","Present","Sufficient","The observed behavior is clearly described as the overlays not being applied, providing a clear contrast to the expected behavior.","The report is well-structured, providing clear steps to reproduce the issue, along with a defined expected and observed behavior, making it actionable for further investigation.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041955"
"MC-300683","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the action (clicking on text-bearing blocks in UIs) and the resulting behavior (game crash), allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the action (clicking on text-bearing blocks in UIs) and the resulting behavior (game crash), allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when clicking on text-bearing blocks.","Present","Sufficient","The report clearly describes the observed behavior of the game crashing when the action is performed.","The report is actionable and provides enough detail for reproduction, but lacks an explicit statement of expected behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040455"
"MC-300745","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug involving the copper golem's behavior at the edge of a platform, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug involving the copper golem's behavior at the edge of a platform, allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when the copper golem is at the edge of the platform.","Present","Sufficient","The report describes the observed behavior of the copper golem jumping off the platform, which is clear enough to understand.","The report is executable as it describes a specific behavior of the copper golem, but it lacks an explicit statement of expected behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041430"
"MC-300761","Executable","Non-Executable","mismatch","valid_json","The report does not specify how to trigger the HDR function being turned off, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the HDR function being turned off, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be regarding the HDR function.","Present","Sufficient","The report describes that the HDR function is turned off when starting the game, which is a clear observation.","The report lacks critical details on how to reproduce the issue, specifically the steps or conditions under which the HDR function is affected.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040125"
"MC-300774","Executable","Non-Executable","mismatch","valid_json","The report does not specify how to trigger the streaming issue in Discord, making it unclear how to reproduce the problem.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the streaming issue in Discord, making it unclear how to reproduce the problem.","Not Present","Not Applicable","The report does not explicitly state what the expected outcome should be when streaming the game.","Present","Sufficient","The report describes the observed behavior of only the menu bar showing and the game being laggy during streaming.","The report lacks critical details on how to reproduce the streaming issue, which prevents it from being classified as executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040230"
"MC-300789","Executable","Non-Executable","mismatch","valid_json","The report describes floating vines but lacks details on how to trigger or observe this behavior, such as specific locations or conditions.","Irreproducible","Not Applicable","Missing Information","The report describes floating vines but lacks details on how to trigger or observe this behavior, such as specific locations or conditions.","Not Present","Not Applicable","No explicit expected behavior is stated in the report.","Present","Sufficient","The report clearly states that floating vines were observed without trees.","The report identifies a visual bug with floating vines but does not provide enough information to reproduce the issue effectively.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00038790"
"MC-300792","Executable","Non-Executable","mismatch","valid_json","The report does not specify the context or environment in which the camera behavior occurs, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify the context or environment in which the camera behavior occurs, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be.","Present","Sufficient","The report describes the camera shaking up and down when specific keys are pressed.","The report describes an observed behavior but lacks critical details on how to reproduce the issue, leading to a classification of Non-Executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00039750"
"MC-300807","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the steps to reproduce the issue by running the data generator and searching for specific block type IDs.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the steps to reproduce the issue by running the data generator and searching for specific block type IDs.","Present","Accurate","The expected behavior is clearly stated as the block type ID being `weathering_copper_trapdoor`, which aligns with the naming convention in Minecraft.","Present","Sufficient","The actual behavior is clearly described, indicating that the block type ID is `weathering_copper_trap_door`, which is inconsistent with the expected behavior.","The report is well-structured, providing clear steps to reproduce the issue, along with a defined expected and observed behavior, making it actionable for further evaluation.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00044685"
"MC-300845","Executable","Non-Executable","mismatch","valid_json","The report does not specify how to trigger the loading screen issue, making it unclear how to reproduce the bug.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the loading screen issue, making it unclear how to reproduce the bug.","Not Present","Not Applicable","The report does not state what the expected behavior should be when starting Minecraft.","Present","Sufficient","The report describes the game being stuck on the loading screen and the need to restart the PC or use Alt + F4.","The report lacks critical information on how to reproduce the bug, which prevents it from being classified as executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040050"
"MC-300872","Executable","Non-Executable","mismatch","valid_json","The report lacks specific details on how to consistently trigger the bug, as it mentions the behavior occurs randomly without clear steps.","Irreproducible","Not Applicable","Missing Information","The report lacks specific details on how to consistently trigger the bug, as it mentions the behavior occurs randomly without clear steps.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when dealing damage while sprinting.","Present","Sufficient","The report describes the observed behavior of the sprint speed being reduced to walking speed after dealing damage.","The report describes a bug but lacks clear steps to reproduce it, making it non-executable despite providing sufficient observed behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041145"
"MC-300875","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the action (breaking a gold-related block) and the intended bug behavior (Piglin Brutes not being aggravated), allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the action (breaking a gold-related block) and the intended bug behavior (Piglin Brutes not being aggravated), allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated as Piglin Brutes should be aggravated when a gold-related block is broken, which aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is clearly described as Piglin Brutes not being aggravated, providing a clear outcome to understand the issue.","The report is actionable and provides enough detail to attempt reproduction, with clear expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041100"
"MC-300877","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug, indicating that experience is dropped when mining quartz but not counted towards the player's level, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug, indicating that experience is dropped when mining quartz but not counted towards the player's level, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated as experience being counted towards the player's level when mining quartz, which aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is clearly described, indicating that experience is dropped but not counted, providing enough detail to understand the issue.","The report is actionable and provides sufficient detail to attempt reproduction of the bug, with clear expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040905"
"MC-300881","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the intended action (reporting a player skin) and the observed issue (the widget is no longer interactive), allowing for an attempt to reproduce the bug.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the intended action (reporting a player skin) and the observed issue (the widget is no longer interactive), allowing for an attempt to reproduce the bug.","Present","Accurate","The expected behavior is clearly stated as being able to drag the mouse to move the player entity, which aligns with the mechanics of the game.","Present","Sufficient","The report describes the observed behavior of the widget being non-interactive, which is clear and understandable.","The report is actionable and provides enough detail for an evaluator to attempt to reproduce the bug, with clear expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041700"
"MC-300886","Executable","Non-Executable","mismatch","valid_json","The report does not specify how the player is attempting to fly in creative mode, which is critical for reproducing the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how the player is attempting to fly in creative mode, which is critical for reproducing the issue.","Present","Accurate","The expected behavior of being able to fly in creative mode is clearly stated.","Present","Sufficient","The report describes the observed behavior of jumping instead of flying, which is clear enough to understand.","The report lacks critical details on how the player is attempting to fly, making it non-executable despite clearly stating the expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040560"
"MC-300889","Non-Executable","Executable","mismatch","valid_json","The report provides enough information to understand that a pumpkin can be carved with any object, which allows for an attempt to reproduce the behavior.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information to understand that a pumpkin can be carved with any object, which allows for an attempt to reproduce the behavior.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when carving a pumpkin.","Present","Sufficient","The report describes that a pumpkin can be carved by hand or with any object, indicating the observed behavior.","The report is executable as it describes the bug behavior clearly, but it lacks an explicit expected outcome.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040080"
"MC-300898","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior, indicating that wearing Netherite armor results in it appearing as Diamond armor, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior, indicating that wearing Netherite armor results in it appearing as Diamond armor, which allows for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated as the Netherite armor should not appear as Diamond armor, which aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is clearly described, indicating that the Netherite armor incorrectly appears as Diamond armor, providing enough detail to understand the issue.","The report is actionable and provides sufficient detail to attempt reproduction of the bug, with clear expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041430"
"MC-300902","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior related to the anvil GUI, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior related to the anvil GUI, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior of the input text field being visible and not obscured by the title texture is clearly implied.","Present","Sufficient","The report describes the observed behavior of the title texture obscuring the input text, making it clear what the issue is.","The report effectively communicates the bug with sufficient detail to allow for reproduction attempts, while also clearly stating the expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040860"
"MC-300915","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the actions taken and the resulting behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the actions taken and the resulting behavior, allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when using the Nether Portal.","Present","Sufficient","The report describes the observed behavior of the Nether Portal unlinking and the subsequent lag, providing enough detail to understand what occurred.","The report is actionable and provides sufficient detail for reproduction, but lacks a clear expected outcome.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00042120"
"MC-300934","Executable","Non-Executable","mismatch","valid_json","The report lacks specific details on how to reproduce the issue, such as the exact steps taken after changing the Minecraft name and the conditions under which the game restarted.","Irreproducible","Not Applicable","Missing Information","The report lacks specific details on how to reproduce the issue, such as the exact steps taken after changing the Minecraft name and the conditions under which the game restarted.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be after changing the Minecraft name.","Present","Sufficient","The report describes that the game restarted and the player was respawned at the world spawn point, which is clear enough to understand.","The report describes an issue but lacks critical details needed to reproduce the bug, making it non-executable despite providing a clear observed behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041970"
"MC-301073","Executable","Non-Executable","mismatch","valid_json","The report lacks critical details on how to trigger the behavior, such as the specific actions taken with the lead and the boat setup.","Irreproducible","Not Applicable","Missing Information","The report lacks critical details on how to trigger the behavior, such as the specific actions taken with the lead and the boat setup.","Not Present","Not Applicable","There is no clear expected behavior stated in the report.","Present","Sufficient","The report describes the observed behavior of the iron golem charging when the lead is used, which is clear enough to understand.","The report describes an interesting behavior but lacks the necessary details to reproduce the issue, making it non-executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040725"
"MC-301106","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug involving the copper golem and the lead disappearing when it turns into a statue while leashed, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug involving the copper golem and the lead disappearing when it turns into a statue while leashed, allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when the copper golem turns into a statue while leashed.","Present","Sufficient","The report clearly describes the observed behavior of the lead disappearing when the copper golem turns into a statue.","The report is executable as it describes a specific scenario that can be tested, but it lacks an explicit statement of expected behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041355"
"MC-301122","Executable","Non-Executable","mismatch","valid_json","The report describes the symptom of the bug but does not provide a clear method to trigger or reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report describes the symptom of the bug but does not provide a clear method to trigger or reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be.","Present","Sufficient","The report describes the observed behavior of the green player dot appearing on maps in item frames.","The report identifies a visual bug but lacks critical details on how to reproduce it, making it non-executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00039765"
"MC-301128","Executable","Non-Executable","mismatch","valid_json","The report does not specify how the mouse stopped responding or the exact conditions under which the issue occurs, making it unclear how to reproduce the problem.","Irreproducible","Not Applicable","Missing Information","The report does not specify how the mouse stopped responding or the exact conditions under which the issue occurs, making it unclear how to reproduce the problem.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when the mouse is functioning correctly.","Present","Sufficient","The report describes that the mouse does not respond to menu clicks after dying in-game, which is clear enough to understand the issue.","The report describes a clear symptom but lacks critical details on how to reproduce the issue, leading to a classification of Non-Executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041370"
"MC-301183","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the actions taken with the Happy Ghasts and the resulting behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the actions taken with the Happy Ghasts and the resulting behavior, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior of the Happy Ghasts remaining on leads is clearly implied in the context of the report.","Present","Sufficient","The report describes the specific issue of the Happy Ghasts breaking free from leads, providing a clear understanding of the observed behavior.","The report is actionable and provides enough detail for an evaluator to attempt to reproduce the bug, despite lacking specific reproducibility details.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040815"
"MC-301184","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of how to reproduce the bug, including the setup and actions needed.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of how to reproduce the bug, including the setup and actions needed.","Present","Accurate","The expected behavior is clearly stated, indicating that the carpet should remain in place when the piston door is activated.","Present","Sufficient","The observed behavior is clearly described, detailing that the carpet disappears without dropping as an item.","The report is well-structured, providing sufficient detail for reproduction and clearly stating both expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00043215"
"MC-301202","Non-Executable","Executable","mismatch","valid_json","The report provides enough detail about the situation with the copper golem and its effects on villager functions, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides enough detail about the situation with the copper golem and its effects on villager functions, allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when the copper golem is functioning correctly.","Present","Sufficient","The report clearly describes the observed behavior of the villagers and the copper golem freezing, providing enough detail to understand the issue.","The report is actionable and provides a clear description of the problem, but lacks an explicit statement of expected behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00042090"
"MC-301222","Non-Executable","Executable","mismatch","valid_json","The report provides enough detail about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides enough detail about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be.","Present","Sufficient","The report clearly describes the observed behavior of a blue patch appearing on the UI and its interaction with the F1 key.","The report is actionable as it describes a specific visual issue in the UI, but it lacks an explicit statement of expected behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040230"
"MC-301234","Non-Executable","Executable","mismatch","valid_json","The report provides enough information about the command '/rotate' and its effect on momentum, allowing for an attempt to reproduce the behavior.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information about the command '/rotate' and its effect on momentum, allowing for an attempt to reproduce the behavior.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when using the '/rotate' command.","Present","Sufficient","The report describes the observed behavior of excessive speed when using the '/rotate' command, making it clear what happens.","The report is actionable as it describes a specific command and its unintended effect, but it lacks a clear expected outcome.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041085"
